horizon,hole,override type,override value
NG1,ASV1003,FULL NO ZEROS,
NG1,ASV0001,FULL NO ZEROS,
NG3,ASV0001,FULL NO ZEROS,
NT1,VKY1390,FULL NO ZEROS,
NT1,LOX23A,FULL NO ZEROS,
NT1,WVK511,FULL NO ZEROS,
NT1,LOX22B,FULL NO ZEROS,
NT2,WVK632,FULL NO ZEROS,
NT2,VKY0062C,FULL NO ZEROS,
NT2,VKY1390,FULL NO ZEROS,
NT2,LOX23A,FULL NO ZEROS,
NT2,WVK511,FULL NO ZEROS,
NT2,LOX22B,FULL NO ZEROS,
NT5,WVK094,FULL NO ZEROS,
NT5,WVK615,FULL NO ZEROS,
NT5,VKY1548,FULL NO ZEROS,
NT5,WVK632,FULL NO ZEROS,
NT5,VKY0062C,FULL NO ZEROS,
NT5,VKY1679R,FULL NO ZEROS,
NT5,VKY1678R,FULL NO ZEROS,
NT5,LOX22B,FULL NO ZEROS,
TH1,WVK094,FULL NO ZEROS,
TH1,VKY0056C,FULL NO ZEROS,
TH1,VKY1549,FULL NO ZEROS,
TH1,VKY1185,FULL NO ZEROS,
TA1,WVK094,FULL NO ZEROS,
TA1,WVK539,FULL NO ZEROS,
TA1,WVK617,FULL NO ZEROS,
TA1,WVK506,FULL NO ZEROS,
TA1,ASV1002,FULL NO ZEROS,
TA2,WVK094,FULL NO ZEROS,
TA2,WVK539,FULL NO ZEROS,
TA2,WVK617,FULL NO ZEROS,
TA2,WVK506,FULL NO ZEROS,
TA2,WVK617,FULL NO ZEROS,
TA3,WVK094,FULL NO ZEROS,
TA3,WVK539,FULL NO ZEROS,
TA3,WVK617,FULL NO ZEROS,
TA3,WVK506,FULL NO ZEROS,
TA3,WVK617,FULL NO ZEROS,
TA4,WVK094,FULL NO ZEROS,
TA4,WVK539,FULL NO ZEROS,
TA4,WVK617,FULL NO ZEROS,
TA4,WVK506,FULL NO ZEROS,
TA4,WVK617,FULL NO ZEROS,
TA6,WVK094,FULL NO ZEROS,
TA6,WVK636,FULL NO ZEROS,
TA6,VKY3067,FULL NO ZEROS,
TA6,VKY3067,FULL NO ZEROS,
TA8,WVK539,FULL NO ZEROS,
TA8,WVK636,FULL NO ZEROS,
ST1,WVK659,FULL NO ZEROS,
ST1,WVK094,FULL NO ZEROS,
ST1,WVK539,FULL NO ZEROS,
ST1,WVK636,FULL NO ZEROS,
ST1,WVK115,FULL NO ZEROS,
ST2,WVK659,FULL NO ZEROS,
ST2,WVK094,FULL NO ZEROS,
ST2,VNW096,FULL NO ZEROS,
ST2,VKY5050,VALUE,0.05
ST2,WVK539,FULL NO ZEROS,
ST2,WVK115,FULL NO ZEROS,
TP1,WVK055,FULL NO ZEROS,
TP1,WVK659,FULL NO ZEROS,
TP1,WVK537,FULL NO ZEROS,
TP1,WVK116,FULL NO ZEROS,
TP1,WVK650,FULL NO ZEROS,
TP1,WVK094,FULL NO ZEROS,
TP2,WVK055,FULL NO ZEROS,
TP2,WVK659,FULL NO ZEROS,
TP2,WVK537,FULL NO ZEROS,
TP2,WVK029,FULL NO ZEROS,
TP2,VS028,FULL NO ZEROS,
TP2,MWK003,FULL NO ZEROS,
TP2,WVK116,FULL NO ZEROS,
TP3,WVK055,FULL NO ZEROS,
CN1,WVK543,FULL NO ZEROS,
CN1,VKY3034,FULL NO ZEROS,
CN1,VKY0080,FULL NO ZEROS,
CN1,VS020,FULL NO ZEROS,
CN1,VS045,FULL NO ZEROS,
CN1,WVK656A,FULL NO ZEROS,
CN2,WVK543,FULL NO ZEROS,
CN2,WVK654,FULL NO ZEROS,
CN2,VS045,FULL NO ZEROS,
CN2,VKY3034,FULL NO ZEROS,
CN2,VKY0080,FULL NO ZEROS,
CN2,VS020,FULL NO ZEROS,
CN2,VS045,FULL NO ZEROS,
CN2,WVK656A,FULL NO ZEROS,
CN3U,WVK543,FULL NO ZEROS,
CN3U,VKY3034,FULL NO ZEROS,
CN3U,VKY0080,FULL NO ZEROS,
CN3U,VS020,FULL NO ZEROS,
CN3U,VS045,FULL NO ZEROS,
CN3U,WVK656A,FULL NO ZEROS,
CN3L,WVK543,FULL NO ZEROS,
CN3L,VKY3034,FULL NO ZEROS,
CN3L,VKY0080,FULL NO ZEROS,
CN3L,VS020,FULL NO ZEROS,
CN3L,VS045,FULL NO ZEROS,
CN3L,WVK656A,FULL NO ZEROS,
